Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
saia	noun	feminine	saia, saias	http://kaiko.getalp.org/dbnary/por/saia__Substantivo__1	Saia	petticoat, skirt
salada	noun	feminine	salada, saladas	http://kaiko.getalp.org/dbnary/por/salada__Substantivo__1	Salada	salad
salsaparrilha	noun	feminine	salsaparrilha, salsaparrilhas	https://en.wiktionary.org/wiki/salsaparrilha#Portuguese		salsaparrilha 
sapato	noun	masculine	sapato, sapatos			shoe
setembro	noun	masculine	setembro, setembros	https://kaiko.getalp.org/describe/?url=http%3A%2F%2Fkaiko.getalp.org%2Fdbnary/por/setembro__Substantivo__1		September
sofá 	noun	masculine	sofá, sofás	https://en.wiktionary.org/wiki/sof%C3%A1#Portuguese	Sofá	sofa
sorte	noun	masculine	sorte, sortes	http://kaiko.getalp.org/dbnary/por/sorte__Substantivo__1	Sorte	‘a lottery-coupon’
sorte	noun	masculine	sorte, sortes	http://kaiko.getalp.org/dbnary/por/sorte__Substantivo__1	Sorte	‘a lottery-coupon’
sorte	noun	masculine	sorte, sortes	http://kaiko.getalp.org/dbnary/por/sorte__Substantivo__1	Sorte	‘a lottery-coupon’
sorte	noun	masculine	sorte, sortes	http://kaiko.getalp.org/dbnary/por/sorte__Substantivo__1	Sorte	‘a lottery-coupon’
tabaco	noun	masculine	tabaco, tabacos	http://kaiko.getalp.org/dbnary/por/tabaco__Substantivo__1	Tabaco	tobacco
tabaco	noun	masculine	tabaco, tabacos	http://kaiko.getalp.org/dbnary/por/tabaco__Substantivo__1	Tabaco	tobacco
tabaco	noun	masculine	tabaco, tabacos	http://kaiko.getalp.org/dbnary/por/tabaco__Substantivo__1	Tabaco	tobacco
tabaco	noun	masculine	tabaco, tabacos	http://kaiko.getalp.org/dbnary/por/tabaco__Substantivo__1	Tabaco	tobacco
tambor	noun	masculine	tambor, tambores	http://kaiko.getalp.org/dbnary/por/tambor__Substantivo__1	Tambor	tambour, drum
tambor	noun	masculine	tambor, tambores	http://kaiko.getalp.org/dbnary/por/tambor__Substantivo__1	Tambor	tambour, drum
toalha	noun	feminine	toalha, toalhas	http://kaiko.getalp.org/dbnary/por/toalha__Substantivo__1	Toalha	towel
toalha	noun	feminine	toalha, toalhas	http://kaiko.getalp.org/dbnary/por/toalha__Substantivo__1	Toalha	towel
toalha	noun	feminine	toalha, toalhas	http://kaiko.getalp.org/dbnary/por/toalha__Substantivo__1	Toalha	towel
toronja	noun	feminine	toronja, toronjas	http://kaiko.getalp.org/dbnary/por/toronja__Substantivo__1	Toronja	Citrus decumana, the shaddock or ‘ the pomelo ’
tropa	noun	feminine	tropa, tropas	https://en.wiktionary.org/wiki/tropa#Portuguese	Tropa	troop of soldiers
tufão	noun	masculine	tufão, tufões	http://kaiko.getalp.org/dbnary/por/tufão__Substantivo__1	? Tufão	hurricane
tufão	noun	masculine	tufão, tufões	http://kaiko.getalp.org/dbnary/por/tufão__Substantivo__1	? Tufão	hurricane
varanda	noun	feminine	varanda, varandas	http://kaiko.getalp.org/dbnary/por/varanda__Substantivo__1	Varanda	verandah
vermelho	adjective			https://en.wiktionary.org/wiki/vermelho		red
verruma	noun	feminine	verruma, verrumas	http://kaiko.getalp.org/dbnary/por/verruma__Substantivo__1	Verruma	gimlet
vinha de alhos	noun	feminine	vinha de alhos, vinhas de alhos		Vinha de alhos	vindaloo
